Date,Amount,Balance,"Balance, USD @ Price ",Profit
2022/06/03,+0.00000666 BTC (0.2 USD),"7,625.91027396 BTC","$231,824,831 @ $30,399.63","$19,771,208"
2022/05/04,"+184.41245739 BTC (7,085,160.51 USD)","7,625.9102673 BTC","$292,988,874 @ $38,420.18","$80,935,252"
2022/05/03,"+352.93891721 BTC (13,591,174.39 USD)","7,441.49780991 BTC","$286,561,469 @ $38,508.57","$81,593,007"
2022/04/15,"+785.69320678 BTC (31,358,999.63 USD)","7,088.5588927 BTC","$282,922,283 @ $39,912.52","$91,544,995"
2021/12/07,"+4.4838404 BTC (219,253.4 USD)","6,302.86568592 BTC","$308,201,148 @ $48,898.57","$148,182,860"
2021/12/07,"+9.31684078 BTC (450,049.72 USD)","6,298.38184552 BTC","$304,243,151 @ $48,304.97","$144,444,116"
2021/12/06,"+289.06497192 BTC (14,040,662.8 USD)","6,289.06500474 BTC","$305,476,795 @ $48,572.69","$146,127,810"
2021/06/22,+0.00000547 BTC (0.18 USD),"6,000.00003282 BTC","$195,951,972 @ $32,658.66","$50,643,649"
2021/05/02,+0.00000547 BTC (0.32 USD),"6,000.00002735 BTC","$346,897,132 @ $57,816.19","$201,588,810"
2021/04/07,+0.00000547 BTC (0.31 USD),"6,000.00002188 BTC","$336,972,785 @ $56,162.13","$191,664,463"
2021/03/22,+0.00000547 BTC (0.32 USD),"6,000.00001641 BTC","$346,641,797 @ $57,773.63","$201,333,476"
2021/02/19,+0.00000547 BTC (0.28 USD),"6,000.00001094 BTC","$309,624,378 @ $51,604.06","$164,316,057"
2021/01/29,+0.00000547 BTC (0.18 USD),"6,000.00000547 BTC","$191,983,990 @ $31,997.33","$46,675,669"
2021/01/13,"+150 BTC (5,190,196.3 USD)","6,000 BTC","$207,607,852 @ $34,601.31","$62,299,532"
2021/01/13,"+1,050 BTC (36,331,374.13 USD)","5,850 BTC","$202,417,656 @ $34,601.31","$62,299,532"
2021/01/13,"+550.59552972 BTC (19,051,325.89 USD)","4,800 BTC","$166,086,282 @ $34,601.31","$62,299,532"
2021/01/13,"+177.33099331 BTC (6,223,931.92 USD)","4,249.40447028 BTC","$149,144,848 @ $35,097.82","$64,409,424"
2021/01/13,"+84.50807759 BTC (2,966,049.6 USD)","4,072.07347697 BTC","$142,920,917 @ $35,097.82","$64,409,424"
2021/01/06,+0.00000547 BTC (0.19 USD),"3,987.56539938 BTC","$139,062,136 @ $34,873.94","$63,516,693"
2020/12/19,+0.00000547 BTC (0.13 USD),"3,987.56539391 BTC","$92,420,933 @ $23,177.28","$16,875,491"
2020/12/16,"+123.25636342 BTC (2,395,505.26 USD)","3,987.56538844 BTC","$77,498,910 @ $19,435.14","$1,953,468"
2020/12/16,"+619.68544452 BTC (12,043,676.3 USD)","3,864.30902502 BTC","$75,103,405 @ $19,435.14","$1,953,468"
2020/12/16,"+237.08314134 BTC (4,607,745.16 USD)","3,244.6235805 BTC","$63,059,729 @ $19,435.14","$1,953,468"
2020/12/16,"+124.23429577 BTC (2,409,391.93 USD)","3,007.54043916 BTC","$58,328,046 @ $19,393.94","$1,829,530"
2020/12/16,"+113.01860943 BTC (2,191,362.98 USD)","2,883.30614339 BTC","$55,905,575 @ $19,389.4","$1,816,451"
2020/12/16,"+469.88673421 BTC (9,117,792.42 USD)","2,770.28753396 BTC","$53,755,309 @ $19,404.23","$1,857,548"
2020/12/14,"+319.4991579 BTC (6,168,543.58 USD)","2,300.40079975 BTC","$44,413,646 @ $19,306.92","$1,633,678"
2020/12/12,"+600 BTC (11,089,321.36 USD)","1,980.90164185 BTC","$36,611,425 @ $18,482.2",$0
2020/12/12,"+200 BTC (3,696,440.45 USD)","1,380.90164185 BTC","$25,522,103 @ $18,482.2",$0
2020/12/12,"+1,176.79570234 BTC (21,749,776.19 USD)","1,180.90164185 BTC","$21,825,663 @ $18,482.2",$0
2020/12/12,"+4.10593951 BTC (75,886.8 USD)",4.10593951 BTC,"$75,887 @ $18,482.2",$0
